input,N,method,solved,runtime_seconds,peak_kb,nodes_expanded,assignments_tried,inferences,contradictions,max_frontier
input-01.txt,4,bruteforce,True,0.000283,2.7,20,55,0,0,0
input-01.txt,4,backtrack,True,0.000810,3.9,14,13,0,0,0
input-01.txt,4,forward,True,0.001758,27.2,1,0,76,0,0
input-01.txt,4,backward,True,0.002336,16.0,14,13,13,0,0
input-01.txt,4,astar,True,0.001371,6.3,14,13,0,0,1
input-02.txt,4,bruteforce,True,0.000156,2.1,9,24,0,0,0
input-02.txt,4,backtrack,True,0.000308,1.9,9,8,0,0,0
input-02.txt,4,forward,True,0.001429,21.9,1,0,81,0,0
input-02.txt,4,backward,True,0.001251,11.3,9,8,8,0,0
input-02.txt,4,astar,True,0.000638,4.4,9,8,0,0,1
input-03.txt,5,bruteforce,True,0.000198,3.1,11,30,0,0,0
input-03.txt,5,backtrack,True,0.000467,2.9,11,10,0,0,0
input-03.txt,5,forward,True,0.004101,43.2,1,0,155,0,0
input-03.txt,5,backward,True,0.003425,15.1,11,10,10,0,0
input-03.txt,5,astar,True,0.001915,8.1,11,10,0,0,1
input-04.txt,5,bruteforce,True,0.000365,3.1,11,32,0,0,0
input-04.txt,5,backtrack,True,0.000699,2.9,11,10,0,0,0
input-04.txt,5,forward,True,0.002168,36.0,1,0,155,0,0
input-04.txt,5,backward,True,0.001952,14.9,11,10,10,0,0
input-04.txt,5,astar,True,0.001050,8.1,11,10,0,0,1
input-05.txt,6,bruteforce,True,0.000244,3.1,13,54,0,0,0
input-05.txt,6,backtrack,True,0.000694,3.1,13,12,0,0,0
input-05.txt,6,forward,True,0.003159,47.3,1,0,258,0,0
input-05.txt,6,backward,True,0.002787,26.4,13,12,12,0,0
input-05.txt,6,astar,True,0.001459,10.1,13,12,0,0,1
input-06.txt,6,bruteforce,True,0.000270,3.2,15,34,0,0,0
input-06.txt,6,backtrack,True,0.000872,3.1,15,14,0,0,0
input-06.txt,6,forward,True,0.003081,36.9,1,0,256,0,0
input-06.txt,6,backward,True,0.003573,25.7,15,14,14,0,0
input-06.txt,6,astar,True,0.001766,10.7,15,14,0,0,1
input-07.txt,7,bruteforce,True,0.000338,3.1,15,77,0,0,0
input-07.txt,7,backtrack,True,0.000943,3.2,15,14,0,0,0
input-07.txt,7,forward,True,0.003894,78.1,1,0,401,0,0
input-07.txt,7,backward,True,0.004222,29.9,15,14,14,0,0
input-07.txt,7,astar,True,0.001981,12.7,15,14,0,0,1
input-08.txt,7,bruteforce,True,0.000367,3.5,25,84,0,0,0
input-08.txt,7,backtrack,True,0.002603,4.3,25,24,0,0,0
input-08.txt,7,forward,True,0.004275,76.0,1,0,391,0,0
input-08.txt,7,backward,True,0.008390,40.6,25,24,24,0,0
input-08.txt,7,astar,True,0.004643,18.6,25,24,0,0,1
input-09.txt,9,bruteforce,True,0.000361,4.7,11,82,0,0,0
input-09.txt,9,backtrack,True,0.000765,5.2,11,10,0,0,0
input-09.txt,9,forward,True,0.007848,126.5,1,0,830,0,0
input-09.txt,9,backward,True,0.004531,38.1,11,10,10,0,0
input-09.txt,9,astar,True,0.002180,15.7,11,10,0,0,1
input-10.txt,9,bruteforce,True,0.000500,5.3,29,144,0,0,0
input-10.txt,9,backtrack,True,0.004429,7.5,28,27,0,0,0
input-10.txt,9,forward,True,0.007756,92.9,1,0,813,0,0
input-10.txt,9,backward,True,0.014595,70.9,28,27,27,0,0
input-10.txt,9,astar,True,0.007069,28.7,28,27,0,0,1
